k,n,power
2, 4096, 0.097
2, 6144, 0.128
2, 8192, 0.109
2, 10240, 0.172
2, 12288, 0.165
2, 14336, 0.162
2, 16384, 0.133
4, 4096, 0.100
4, 6144, 0.134
4, 8192, 0.114
4, 10240, 0.184
4, 12288, 0.181
4, 14336, 0.178
4, 16384, 0.144
8, 4096, 0.110
8, 6144, 0.152
8, 8192, 0.122
8, 10240, 0.190
8, 12288, 0.195
8, 14336, 0.187
8, 16384, 0.152
16, 4096, 0.143
16, 6144, 0.169
16, 8192, 0.143
16, 10240, 0.195
16, 12288, 0.196
16, 14336, 0.192
16, 16384, 0.167
32, 4096, 0.200
32, 6144, 0.221
32, 8192, 0.201
32, 10240, 0.243
32, 12288, 0.233
32, 14336, 0.233
32, 16384, 0.203
64, 4096, 0.318
64, 6144, 0.345
64, 8192, 0.318
64, 10240, 0.362
64, 12288, 0.352
64, 14336, 0.345
64, 16384, 0.322
128, 4096, 0.522
128, 6144, 0.580
128, 8192, 0.570
128, 10240, 0.712
128, 12288, 0.716
128, 14336, 0.717
128, 16384, 0.675
